match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_penaltyConceded,captain,stat_aerialLost,stat_wasFouled,stat_shotOffTarget,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyWon,stat_totalOffside,stat_penaltyMiss,stat_goals,stat_errorLeadToAShot,player_sofascoreId
12624389,home,Al-Fateh,Nawaf Al-Aqidi,,,nawaf-al-aqidi,N. Al-Aqidi,G,1,188.0,1512,M,1014518,EUR,957916800,G,26,26,False,25.0,14.0,18.0,8.0,1.0,9.0,11.0,5.0,14.0,4.0,4.0,1.0,3.0,1.0,1.0,5.0,1.0,90.0,38.0,9.1,11.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624389,home,Al-Fateh,Ahmed Al-Julaydan,,,al-julaydan-ahmed,A. Al-Jelidan,D,32,170.0,199,M,1475443,EUR,1078704000,D,42,42,False,20.0,14.0,6.0,3.0,0.0,7.0,8.0,8.0,13.0,6.0,7.0,,,,,,,79.0,43.0,7.2,13.0,1.0,0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12624389,home,Al-Fateh,Jorge Fernandes,,,jorge-fernandes,J. Fernandes,D,44,193.0,146,M,814673,EUR,859939200,D,44,44,False,22.0,17.0,6.0,3.0,0.0,15.0,15.0,2.0,7.0,12.0,2.0,,,,,,,90.0,39.0,7.1,5.0,,0,,,3.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12624389,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400,D,17,17,False,17.0,13.0,5.0,1.0,0.0,7.0,7.0,6.0,10.0,12.0,2.0,,,,,,,90.0,39.0,7.5,5.0,,0,,,3.0,3.0,4.0,2.0,,3.0,2.0,,,1.0,,,True,1.0,1.0,,,,,,,,,,,,,
12624389,home,Al-Fateh,Hussain Al Zarie,Hussain Al Zarie,,hussain-al-zarie,H. A. Zarie,D,82,178.0,17,,1917051,EUR,1102896000,D,82,82,False,12.0,8.0,3.0,2.0,0.0,5.0,5.0,3.0,8.0,4.0,7.0,,,,,,,78.0,38.0,7.3,7.0,,1,1.0,,,3.0,7.0,3.0,,,3.0,4.0,,1.0,,,,,3.0,1.0,,,,,,,,,,,,
12624389,home,Al-Fateh,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183.0,567,M,862194,EUR,931651200,M,33,33,False,26.0,24.0,5.0,4.0,0.0,14.0,15.0,10.0,11.0,,6.0,,,,,,,90.0,42.0,7.1,4.0,1.0,2,,,,8.0,9.0,2.0,,,2.0,7.0,2.0,1.0,5.0,,,,2.0,2.0,1.0,,,,,,,,,,,
12624389,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,21.0,17.0,2.0,,0.0,9.0,9.0,8.0,12.0,3.0,5.0,,,,,,,90.0,35.0,7.0,7.0,2.0,2,,,4.0,7.0,6.0,2.0,1.0,,2.0,1.0,1.0,2.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
12624389,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185.0,1192,M,880790,EUR,646444800,M,11,11,False,18.0,17.0,1.0,1.0,1.0,2.0,2.0,16.0,19.0,2.0,6.0,,,,,,,90.0,43.0,7.8,8.0,4.0,5,3.0,1.0,,7.0,6.0,1.0,5.0,,,1.0,1.0,1.0,3.0,,,,2.0,3.0,2.0,3.0,1.0,,1.0,2.0,1.0,2.0,1.0,,,
12624389,home,Al-Fateh,Othman Al-Othman,Othman Alothma,,othman-al-othman,O. Al-Othman,M,88,167.0,30,M,1096521,EUR,1050364800,M,88,88,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,,,,,,,24.0,7.0,6.6,3.0,,1,,,,2.0,1.0,,,,1.0,1.0,,1.0,,,,,,,2.0,,,1.0,,,,,,,,
12624389,home,Al-Fateh,Amine Sbai,,,sbai-amine,A. Sbai,F,7,175.0,387,M,1392829,EUR,973382400,M,7,7,False,16.0,15.0,,,0.0,3.0,4.0,12.0,13.0,1.0,5.0,,,,,,,89.0,30.0,7.8,7.0,2.0,2,1.0,,,3.0,5.0,1.0,6.0,,,1.0,,2.0,,,,,,1.0,,4.0,,1.0,,,,,,1.0,,
