match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,player_sofascoreId,stat_blockedScoringAttempt,stat_interceptionWon,captain,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_punches,stat_totalOffside
10382092,home,Go Ahead Eagles,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188.0,623,M,803034,EUR,891388800,G,1,1,False,37.0,19.0,26.0,8.0,14.0,19.0,5.0,18.0,11.0,1.0,6.0,90.0,47.0,7.9,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382092,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180.0,337,M,794013,EUR,868924800,D,2,2,False,24.0,17.0,3.0,1.0,5.0,5.0,14.0,21.0,6.0,,,90.0,51.0,7.7,10.0,2,,,1.0,2.0,2.0,1.0,2.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,
10382092,home,Go Ahead Eagles,Jamal Amofa,jamal-amofa,J. Amofa,D,6,185.0,110,M,1049653,EUR,911952000,D,25,25,False,26.0,20.0,3.0,1.0,15.0,18.0,5.0,8.0,5.0,,,90.0,34.0,7.0,7.0,1,Jamal Amofa,,,,,1.0,2.0,3.0,3.0,,,,,,1.0,3.0,1.0,1.0,1.0,,3.0,,1.0,,,,,,,,,
10382092,home,Go Ahead Eagles,Jay Idzes,jay-idzes,J. Idzes,D,21,190.0,19136,M,933641,EUR,959904000,D,6,6,False,44.0,37.0,6.0,3.0,25.0,26.0,12.0,18.0,3.0,,,90.0,54.0,7.4,7.0,2,,,,,,1.0,,2.0,2.0,,,,,,1.0,1.0,2.0,,,,1.0,,2.0,jayidzes,1.0,1.0,,,,,,
10382092,home,Go Ahead Eagles,Bas Kuipers,bas-kuipers,B. Kuipers,D,25,180.0,146,M,339879,EUR,777081600,D,5,5,False,37.0,31.0,8.0,6.0,9.0,11.0,22.0,29.0,3.0,,,90.0,66.0,8.0,13.0,1,,,,3.0,,1.0,,4.0,6.0,,1.0,1.0,,,,3.0,5.0,2.0,2.0,1.0,1.0,1.0,,,,4.0,True,1.0,,,,
10382092,home,Go Ahead Eagles,Willum Thor Willumsson,willum-thor-willumsson,W. T. Willumsson,M,19,193.0,297,M,978823,EUR,909100800,M,18,18,False,19.0,12.0,1.0,,2.0,6.0,10.0,13.0,5.0,,,70.0,27.0,7.5,9.0,2,,,1.0,,,,4.0,1.0,5.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,1.0,,,,,,,
10382092,home,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187.0,123,M,932555,EUR,952041600,M,8,8,False,44.0,35.0,4.0,2.0,15.0,17.0,20.0,29.0,12.0,,,90.0,66.0,6.8,14.0,0,,,,2.0,,,,7.0,5.0,1.0,2.0,1.0,,,,3.0,3.0,3.0,,2.0,3.0,,1.0,,,2.0,,,,,,
10382092,home,Go Ahead Eagles,Philippe Rommens,philippe-rommens,P. Rommens,M,88,175.0,233,M,606190,EUR,872035200,M,10,10,False,53.0,48.0,3.0,3.0,23.0,24.0,29.0,37.0,8.0,,,90.0,75.0,8.0,11.0,2,,,,8.0,4.0,,,2.0,3.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,,1.0,5.0,,,1.0,2.0,,,,,,
10382092,home,Go Ahead Eagles,Oliver Edvardsen,oliver-valaker-edvardsen,O. Edvardsen,M,17,175.0,591,M,878599,EUR,921801600,M,23,23,False,23.0,20.0,1.0,,5.0,6.0,15.0,17.0,2.0,,,79.0,44.0,8.8,7.0,4,,,,,,1.0,1.0,6.0,5.0,3.0,1.0,1.0,,1.0,,1.0,,,2.0,4.0,,1.0,,,,3.0,,4.0,2.0,,,
10382092,home,Go Ahead Eagles,Bobby Adekanye,bobby-adekanye,B. Adekanye,M,11,170.0,177,M,825851,EUR,918950400,F,11,11,False,11.0,10.0,,,4.0,4.0,6.0,7.0,8.0,,,70.0,24.0,6.7,7.0,0,,,,,,1.0,1.0,6.0,5.0,,2.0,4.0,1.0,,,,3.0,3.0,1.0,,,1.0,1.0,,,1.0,,,,,,
