match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_challengeLost,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goalAssist,stat_bigChanceMissed
10437966,home,Famalicão,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,31,31,False,26.0,15.0,21.0,10.0,11.0,14.0,4.0,12.0,1.0,1.0,1.0,8.0,1.0,2.0,6.0,1.0,90.0,39.0,8.5,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
10437966,home,Famalicão,Alexandre Penetra,,,alexandre-penetra,A. Penetra,D,5,184,376,M,1004278,EUR,999993600,D,6,6,False,43.0,33.0,5.0,2.0,18.0,21.0,16.0,26.0,,1.0,1.0,3.0,,,,,90.0,63.0,7.1,13.0,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10437966,home,Famalicão,Riccieli,,,riccieli,Riccieli,D,5,184,208,M,927166,EUR,905990400,D,15,15,False,46.0,40.0,3.0,,35.0,37.0,5.0,9.0,4.0,6.0,3.0,2.0,,,,,90.0,56.0,7.3,6.0,0,,,4.0,,1.0,2.0,2.0,2.0,1.0,True,3.0,,,,,,,,,,,,,,
10437966,home,Famalicão,Enea Mihaj,,,enea-mihaj,E. Mihaj,D,4,186,414,M,850828,EUR,899596800,D,4,4,False,52.0,48.0,5.0,3.0,43.0,46.0,5.0,6.0,2.0,5.0,3.0,9.0,,,,,90.0,62.0,7.3,5.0,0,,,2.0,,1.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
10437966,home,Famalicão,Francisco Moura,,,francisco-moura,F. Moura,D,74,181,1191,M,985138,EUR,934761600,D,74,74,False,42.0,31.0,4.0,1.0,18.0,25.0,14.0,20.0,,2.0,5.0,6.0,,,,,90.0,71.0,7.3,16.0,0,3.0,1.0,4.0,,1.0,,1.0,,1.0,,1.0,,,,2.0,1.0,1.0,3.0,,,,,,,
10437966,home,Famalicão,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183,570,M,862194,EUR,931651200,M,28,28,False,39.0,34.0,5.0,5.0,15.0,16.0,19.0,24.0,,9.0,,8.0,,,,,84.0,57.0,7.5,11.0,0,1.0,,4.0,,,1.0,4.0,3.0,,,,1.0,4.0,4.0,3.0,,1.0,,3.0,,,,,,
10437966,home,Famalicão,Santiago Colombatto,,,santiago-colombatto,S. Colombatto,M,11,180,597,M,822379,EUR,853459200,M,97,97,False,41.0,36.0,7.0,4.0,23.0,26.0,15.0,20.0,1.0,1.0,2.0,,,,,,90.0,57.0,7.2,11.0,2,5.0,2.0,8.0,,,1.0,,,2.0,,2.0,,1.0,,3.0,,,,2.0,2.0,1.0,,,,
10437966,home,Famalicão,Alexandru Dobre,,,mihai-alexandru-dobre,A. Dobre,F,29,185,768,M,897623,EUR,904435200,M,23,23,False,30.0,18.0,2.0,1.0,9.0,11.0,9.0,20.0,,6.0,2.0,10.0,,,,,89.0,47.0,7.0,17.0,1,1.0,,7.0,,1.0,,4.0,2.0,2.0,,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,,1.0,,,
10437966,home,Famalicão,Ivo Rodrigues,,,ivo-rodrigues,I. Rodrigues,M,7,182,202,M,190171,EUR,796521600,M,7,7,False,34.0,29.0,3.0,3.0,9.0,10.0,20.0,27.0,,10.0,1.0,6.0,,,,,89.0,64.0,7.2,16.0,4,3.0,,12.0,2.0,1.0,1.0,5.0,3.0,2.0,,2.0,2.0,4.0,1.0,3.0,,4.0,2.0,3.0,1.0,,1.0,,,
10437966,home,Famalicão,Iván Jaime,,,ivan-jaime,I. Jaime,M,11,180,1015,M,951986,EUR,969926400,M,10,10,False,21.0,18.0,4.0,3.0,4.0,4.0,14.0,18.0,,6.0,,5.0,,,,,84.0,38.0,7.4,9.0,2,1.0,,3.0,1.0,,,2.0,2.0,1.0,,,,3.0,2.0,1.0,,2.0,2.0,4.0,1.0,,,1.0,,
