match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_outfielderBlock,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_bigChanceCreated,stat_keyPass,stat_totalCross,stat_fouls,stat_totalContest,stat_wonContest,stat_dispossessed,stat_shotOffTarget,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goalAssist,stat_goals,player_sofascoreId
10438177,away,Sporting Braga,Iuri Medeiros,iuri-medeiros,I. Medeiros,M,45,174,247,M,252613,EUR,773798400,M,45,45,False,48.0,33.0,5.0,3.0,8.0,9.0,26.0,42.0,,,,,,,,,72.0,61.0,7.1,19.0,3,,2.0,4.0,,,,,,,,1.0,,,,,2.0,3.0,1.0,5.0,4.0,,1.0,1.0,,,,2.0,,,
10438177,away,Sporting Braga,André Horta,andre-horta,A. Horta,M,6,174,845,M,775699,EUR,847324800,M,10,10,False,84.0,77.0,6.0,5.0,38.0,40.0,40.0,48.0,1.0,10.0,,,,,,,80.0,98.0,7.0,13.0,2,,4.0,3.0,2.0,,,,2.0,,,,,,,,1.0,4.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,
10438177,away,Sporting Braga,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2821,M,868958,EUR,828748800,M,8,8,False,78.0,67.0,12.0,9.0,35.0,38.0,32.0,40.0,,6.0,,,,,,,90.0,85.0,7.2,12.0,1,1.0,3.0,2.0,,,1.0,1.0,,,,1.0,,,3.0,,,,,,,,,,,,1.0,,,,
10438177,away,Sporting Braga,Bruma,bruma,Bruma,F,7,173,2690,M,97012,EUR,782956800,M,27,27,False,29.0,24.0,3.0,2.0,6.0,7.0,18.0,23.0,,3.0,,,,,,,80.0,45.0,6.8,12.0,1,,6.0,4.0,1.0,1.0,2.0,1.0,,,,3.0,,,2.0,,1.0,1.0,,4.0,2.0,1.0,1.0,,,,,,,,
10438177,away,Sporting Braga,Abel Ruíz,abel-ruiz,A. Ruíz,F,9,182,1448,M,826013,EUR,949017600,F,9,9,False,12.0,8.0,,,,1.0,8.0,11.0,1.0,,,,,,,,72.0,18.0,6.9,7.0,0,,2.0,1.0,2.0,,,,1.0,,,3.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,
10438177,away,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,F,21,21,False,48.0,42.0,3.0,2.0,10.0,10.0,33.0,39.0,,7.0,,,,,,,90.0,66.0,7.5,10.0,6,,5.0,5.0,,,1.0,1.0,3.0,True,,1.0,,,,,,1.0,2.0,4.0,1.0,,1.0,1.0,,1.0,4.0,1.0,,1.0,
10438177,away,Sporting Braga,Pizzi,pizzi,Pizzi,M,21,179,1284,M,77725,EUR,623635200,M,22,22,True,21.0,15.0,1.0,,5.0,5.0,10.0,17.0,1.0,2.0,,,,,,,18.0,28.0,7.2,9.0,1,1.0,1.0,3.0,,,,,,,,1.0,,,,1.0,2.0,1.0,,3.0,2.0,,1.0,,,,,,,,
10438177,away,Sporting Braga,Simon Banza,simon-banza,S. Banza,F,9,189,10452,M,825945,EUR,839894400,F,23,23,True,5.0,1.0,1.0,,,,1.0,5.0,,,,,,,,,18.0,13.0,6.4,8.0,0,,4.0,2.0,1.0,,,,,,,3.0,,,1.0,,,,1.0,3.0,2.0,,,,,,,,,,simbnz
10438177,away,Sporting Braga,Uroš Račić,uros-racic,U. Račić,M,10,193,669,M,839909,EUR,890092800,M,19,19,True,9.0,7.0,,,3.0,3.0,4.0,6.0,1.0,2.0,,,,,,,10.0,12.0,6.6,3.0,0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
10438177,away,Sporting Braga,Álvaro Djaló,alvaro-djalo,Á. Djaló,F,14,176,1150,M,1160960,EUR,934761600,F,14,14,True,7.0,4.0,,,3.0,3.0,1.0,4.0,,2.0,,,,,,,10.0,10.0,6.5,4.0,0,,3.0,1.0,1.0,1.0,1.0,,,,,1.0,Álvaro Djaló,,1.0,,,,1.0,,,,,,,,,,,,
10438177,away,Sporting Braga,Tiago Sá,tiago-sa,T. Sá,G,12,188,145,M,344159,EUR,789782400,G,12,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438177,away,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438177,away,Sporting Braga,Josafat Mendes,josafat-mendes,J. Mendes,D,2,177,330,M,1133258,EUR,1041292800,D,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438177,away,Sporting Braga,Rodrigo Gomes,gomes-rodrigo,R. Gomes,M,21,171,1190,M,1006073,EUR,1057536000,F,7,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438177,away,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,1120039,EUR,1027555200,M,29,29,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
